urlName,url
Binance,https://coinmarketcap.com/exchanges/binance/
Okex,https://coinmarketcap.com/exchanges/okex/
Huobi,https://coinmarketcap.com/exchanges/huobi/
Digifinex,https://coinmarketcap.com/exchanges/digifinex/
Dobitrade,https://coinmarketcap.com/exchanges/dobitrade/
Bit-Z,https://coinmarketcap.com/exchanges/bit-z/
Lbank,https://coinmarketcap.com/exchanges/lbank/
Coinbene,https://coinmarketcap.com/exchanges/coinbene/
Idax,https://coinmarketcap.com/exchanges/idax/
Bitmart,https://coinmarketcap.com/exchanges/bitmart/
Bitforex,https://coinmarketcap.com/exchanges/bitforex/
Upbit,https://coinmarketcap.com/exchanges/upbit/
Hitbtc,https://coinmarketcap.com/exchanges/hitbtc/
Bitfinex,https://coinmarketcap.com/exchanges/bitfinex/
Bibox,https://coinmarketcap.com/exchanges/bibox/
Zb-Com,https://coinmarketcap.com/exchanges/zb-com/
Oex,https://coinmarketcap.com/exchanges/oex/
Latoken,https://coinmarketcap.com/exchanges/latoken/
Idcm,https://coinmarketcap.com/exchanges/idcm/
Coineal,https://coinmarketcap.com/exchanges/coineal/
Exrates,https://coinmarketcap.com/exchanges/exrates/
Coinsuper,https://coinmarketcap.com/exchanges/coinsuper/
Cryptonex,https://coinmarketcap.com/exchanges/cryptonex/
Chaoex,https://coinmarketcap.com/exchanges/chaoex/
Dragonex,https://coinmarketcap.com/exchanges/dragonex/
Fatbtc,https://coinmarketcap.com/exchanges/fatbtc/
Kraken,https://coinmarketcap.com/exchanges/kraken/
Coinbase-Pro,https://coinmarketcap.com/exchanges/coinbase-pro/
Rightbtc,https://coinmarketcap.com/exchanges/rightbtc/
Ooobtc,https://coinmarketcap.com/exchanges/ooobtc/
Cointiger,https://coinmarketcap.com/exchanges/cointiger/
Topbtc,https://coinmarketcap.com/exchanges/topbtc/
Simex,https://coinmarketcap.com/exchanges/simex/
Bitbank,https://coinmarketcap.com/exchanges/bitbank/
Bcex,https://coinmarketcap.com/exchanges/bcex/
P2Pb2B,https://coinmarketcap.com/exchanges/p2pb2b/
Gate-Io,https://coinmarketcap.com/exchanges/gate-io/
Sistemkoin,https://coinmarketcap.com/exchanges/sistemkoin/
Bitebtc,https://coinmarketcap.com/exchanges/bitebtc/
Allcoin,https://coinmarketcap.com/exchanges/allcoin/
Coinegg,https://coinmarketcap.com/exchanges/coinegg/
Bitstamp,https://coinmarketcap.com/exchanges/bitstamp/
Bittrex,https://coinmarketcap.com/exchanges/bittrex/
B2Bx,https://coinmarketcap.com/exchanges/b2bx/
Bitinka,https://coinmarketcap.com/exchanges/bitinka/
Bitflyer,https://coinmarketcap.com/exchanges/bitflyer/
Uex,https://coinmarketcap.com/exchanges/uex/
Poloniex,https://coinmarketcap.com/exchanges/poloniex/
Coinone,https://coinmarketcap.com/exchanges/coinone/
Coinhub,https://coinmarketcap.com/exchanges/coinhub/
Exmo,https://coinmarketcap.com/exchanges/exmo/
Kucoin,https://coinmarketcap.com/exchanges/kucoin/
Bilaxy,https://coinmarketcap.com/exchanges/bilaxy/
Kryptono,https://coinmarketcap.com/exchanges/kryptono/
