company,yearFounded,link
Fisco,1994,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=170920
Nanex,2000,https://en.m.wikipedia.org/wiki/Nanex
Therocktrading,2007,https://www.therocktrading.com/news/463
Kuna,2009,https://foundico.com/exchange/kuna-exchange.html
Bitcointoyou,2010,https://coinpedia.org/exchange/bitcointoyou/
Paymium,2011,https://www.paymium.com/page/company/about
Kraken,2011,https://www.kraken.com/en-us/about
Btcc,2011,https://en.wikipedia.org/wiki/BTCC_(company)
Bitstamp-Ripple-Gateway,2011,https://www.bitstamp.net/about_us/
Bitstamp,2011,https://en.wikipedia.org/wiki/Bitstamp
Vebitcoin,2011,https://icorating.com/exchanges/vebitcoin/
Coincheck,2012,https://corporate.coincheck.com/
Coinbase-Pro,2012,https://en.wikipedia.org/wiki/Coinbase
Bitonic,2012,https://bitonic.nl/en/over-ons
Bitfinex,2012,https://www.bitfinex.com/about
Itbit,2012,https://www.itbit.com/about-itbit
Coinfloor,2012,https://coinfloor.co.uk/about-us
Bitbox,2012,https://en.bitcoinwiki.org/wiki/BitBox
Bit2C,2012,https://in.linkedin.com/company/bit2c
Quadrigacx,2013,https://coinmarketcap.com/historical/
Okcoin,2013,https://www.okcoin.com/pages/company/about.html
Luno,2013,https://www.linkedin.com/company/lunomoney/
Lakebtc,2013,https://www.lakebtc.com/s/about
Kucoin,2013,https://www.crunchbase.com/organization/kucoin#section-overview
Indodax,2013,https://sg.news.yahoo.com/indonesian-cryptocurrency-startup-bitcoin-co-id-rebrands-now-035255235.html
Independent-Reserve,2013,https://www.independentreserve.com/about
Huobi,2013,https://en.wikipedia.org/wiki/Huobi
Gatecoin,2013,https://gatecoin.com/about
Exmo,2013,https://exmo.com/en/about_us
Coinut,2013,https://www.crunchbase.com/organization/coinut
Cex-Io,2013,https://cex.io/about
Btcturk,2013,https://blockchainbiome.com/btcturk/
Bittylicious,2013,https://en.bitcoin.it/wiki/Bittylicious
Bitinka,2013,https://www.crunchbase.com/organization/bitinka#section-past-team
Bithumb,2013,https://www.worldcryptoindex.com/bithumb/
Acx,2013,https://support.acx.io/hc/en-us/articles/360006879713-Contact
Korbit,2013,https://www.crunchbase.com/organization/korbit#section-overview
Koinim,2013,https://koinim.com/
Hitbtc,2013,https://en.bitcoin.it/wiki/HitBTC
Triple-Dice-Exchange,2013,https://twitter.com/t_d_exchange?lang=en
Allcoin,2013,https://www.abitgreedy.com/allcoin/
Lykke-Exchange,2013,https://www.linkedin.com/company/lykke/
Livecoin,2013,http://www.bestbitcoinexchange.net/en/livecoin-net/
Litebit,2013,en.bitcoinwiki.org/wiki/LiteBit
Coinsbank,2013,https://www.linkedin.com/company/coinsbank/
Btctrade-Im,2013,https://digiconomist.net/exchange-review-btc-trade
Bittrex,2013,https://en.wikipedia.org/wiki/Bittrex
Dsx,2013,https://www.crunchbase.com/organization/dsx-cloud#section-recent-news-activity
Btc-Markets,2013,https://bitcoinexchangeguide.com/btc-markets/
Ripple-China,2013,http://wg.iripplechina.com/
Bx-Thailand,2013,https://www.coingecko.com/en/exchanges/bx_thailand
Poloniex,2014,https://poloniex.com/media-kit
Openledger,2014,https://openledger.info/about-us/
Okex,2014,https://bitcoinmagazine.com/articles/okex-founder-released-after-questioning-connection-suspected-coin-fraud/
Gatehub,2014,https://gatehub.net/gateways
Cryptopia,2014,https://www.linkedin.com/company/cryptopia-limited/
Cryptomate,2014,https://coinpedia.org/exchange/cryptomate/
Crxzone,2014,https://www.crxzone.com/company
Coinsquare,2014,https://news.coinsquare.com/digital-currency/coinsquare-founder-virgile-rostand-cryptocurrency/
Coinone,2014,https://craft.co/coinone
Coinmate,2014,https://cointelegraph.com/news/coinmate
Btcbox,2014,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=292552407
Btc-Trade-Ua,2014,https://www.forexbrokerz.com/brokers/btc-trade-ua-review
Bleutrade,2014,https://www.linkedin.com/company/bleutrade/
Bitmex,2014,https://news.bitcoin.com/bitmex-co-founder-is-the-youngest-british-self-made-billionaire/
Bitmarket,2014,https://www.bitmarket.net/docs.php?file=about.html
Bitex-La,2014,https://www.crunchbase.com/organization/bitex-la
Bitbank,2014,https://bitbank.cc/about/corporate/
Barterdex,2014,https://www.linkedin.com/company/komodo-platform/
Zaif,2014,https://www.zdnet.com/article/zaif-cryptocurrency-exchange-loses-60-million-in-july-hack/
Liquid,2014,https://www.liquid.com/company/
Coincorner,2014,https://www.crunchbase.com/organization/coincorner
Coinall,2014,https://www.coinall.com/
C-Cex,2014,https://coinclarity.com/exchange/c-cex/
Bitso,2014,https://www.linkedin.com/company/bitso-sapi-de-cv/
Ripplefox,2014,https://ripplefox.com/
Bisq,2014,https://www.forexbrokerz.com/brokers/bisq-review
Yobit,2014,https://en.m.bitcoinwiki.org/wiki/Yobit
Stellar-Decentralized-Exchange,2014,https://en.wikipedia.org/wiki/Stellar_(payment_network)
Bitbay,2014,https://en.bitcoin.it/wiki/BitBay
B2Bx,2014,https://www.crunchbase.com/organization/b2bx#section-overview
Fatbtc,2014,http://affgadgets.com/fatbtc
Trade-Satoshi,2015,https://www.linkedin.com/company/tradesatoshi/
Paribu,2015,https://www.linkedin.com/company/paribu/
Nocks,2015,https://www.linkedin.com/company/nocks/
Gemini,2015,https://en.wikipedia.org/wiki/Gemini_(company)
Buda,2015,https://www.linkedin.com/company/budapuntocom/
Bitlish,2015,https://www.linkedin.com/company/bitlish/
Coinegg,2015,https://www.coinegg.com/cms/view?id=971.html
Bitshares-Asset-Exchange,2015,https://coinclarity.com/exchange/bitshares-asset-exchange/
Southxchange,2015,https://www.coingecko.com/en/exchanges/south_xchange
C2Cx,2015,https://www.linkedin.com/company/c2cx/
Bitforex,2015,https://www.bloomberg.com/research//stocks/private/snapshot.asp?privcapId=574178615
Simex,2015,https://simex.global/en/faq/about
Negocie-Coins,2015,https://www.linkedin.com/company/negociecoins/about/
Coinexchange,2015,https://www.linkedin.com/company/coinexchange/about/
Altcoin-Trader,2015,https://www.altcointrader.co.za/contact-us
Tux-Exchange,2016,https://coinpedia.org/exchange/tuxexchange/
Mercatox,2016,https://medium.com/@LockChainCo/loc-token-listed-on-uk-based-exchange-mercatox-9590f6e46363
Liqui,2016,https://liqui.io/About
Lbank,2016,https://lbankinfo.zendesk.com/hc/zh-cn
