date,price,marketCap
2010-08-18,0.074,277566.6
2010-08-20,0.0667,251208.875
2010-08-22,0.0664,251350.56
2010-08-24,0.066889,254612.9785
2010-08-26,0.066499,254574.7968
2010-08-28,0.065,249996.5
2010-08-30,0.069,266440.05
2010-09-01,0.0649,251747.1
2010-09-03,0.0634,246914.47
2010-09-05,0.0629,246039.64
2010-09-07,0.06185,242922.06
2010-09-09,0.0624,246027.6
2010-09-11,0.062,245482.8
2010-09-13,0.06201,246598.2675
2010-09-15,0.175,699282.5
2010-09-17,0.0609,244586.58
2010-09-19,0.062599,252809.1915
2010-09-21,0.0633,256868.235
2010-09-23,0.063,256863.6
2010-09-25,0.0624,255815.04
2010-09-27,0.062206,256372.6981
2010-09-29,0.06219,257528.79
2010-10-01,0.061999,257658.5442
2010-10-03,0.0614,255875.29
2010-10-05,0.06301,263457.412
2010-10-07,0.0638,267797.31
2010-10-09,0.12001,505584.1285
2010-10-11,0.1301,550283.97
2010-10-13,0.095,403384.25
2010-10-15,0.119,507535
2010-10-17,0.1045,448414.725
2010-10-19,0.1024,441984
2010-10-21,0.109,473016.4
2010-10-23,0.10901,474842.1095
2010-10-25,0.15,656385
2010-10-27,0.19,835734
2010-10-29,0.191,844430.1
2010-10-31,0.199,883997.8
2010-11-02,0.1955,871930
2010-11-04,0.23601,1057230.396
2010-11-06,0.29,1305188.5
2010-11-08,0.37,1674657
2010-11-10,0.2667,1212884.925
2010-11-12,0.251,1146542.9
2010-11-14,0.299,1372634.25
2010-11-16,0.2827,1303487.295
2010-11-18,0.289999,1344580.364
2010-11-20,0.289,1344008.95
2010-11-22,0.282,1315614.6
2010-11-24,0.28299,1324888.433
2010-11-26,0.289,1358155.5
2010-11-28,0.28461,1342491.139
2010-11-30,0.275,1302963.75
2010-12-02,0.25,1189137.5
2010-12-04,0.2589,1236791.19
2010-12-06,0.225,1080225
2010-12-08,0.2477,1194954.34
2010-12-10,0.204,988216.8
2010-12-12,0.228,1108422
2010-12-14,0.23,1121767.5
2010-12-16,0.2459,1203803.45
2010-12-18,0.249,1223100.45
2010-12-20,0.275,1355530
2010-12-22,0.267,1320835.65
2010-12-24,0.25,1240400
2010-12-26,0.269999,1343798.523
2010-12-28,0.28,1398194
2010-12-30,0.299999,1503039.99
2011-01-01,0.299998,1508164.946
2011-01-03,0.299998,1513324.911
2011-01-05,0.298998,1512645.832
2011-01-07,0.322,1633699.2
2011-01-09,0.322998,1644318.218
2011-01-11,0.329,1680285.25
2011-01-13,0.405,2075564.25
2011-01-15,0.4,2056860
2011-01-17,0.4,2063780
2011-01-19,0.3401,1760391.61
2011-01-21,0.44,2285096
2011-01-23,0.4443,2314847.43
2011-01-25,0.425,2221432.5
2011-01-27,0.4174,2189116.91
2011-01-29,0.446,2346093.8
2011-01-31,0.5,2638000
2011-02-02,0.840099,4446686.012
2011-02-04,0.88,4672800
2011-02-06,0.92,4901668
2011-02-08,0.9,4812120
2011-02-10,1.1,5901940
2011-02-12,1.0899,5868512.055
2011-02-14,1.08,5836266
2011-02-16,1.05019,5698435.959
2011-02-18,1.05019,5722380.291
2011-02-20,0.954896,5220511.922
2011-02-22,0.869499,4770941.013
2011-02-24,0.9499,5233806.515
2011-02-26,0.988567,5470235.495
2011-02-28,0.949231,5273357.897
2011-03-02,0.9498,5290718.43
2011-03-04,0.9392,5249611.44
2011-03-06,0.910445,5113241.209
2011-03-08,0.9072,5114430.72
2011-03-10,0.87,4916761.5
2011-03-12,0.9197,5210146.485
2011-03-14,0.9,5109165
2011-03-16,0.89,5063210
2011-03-18,0.850617,4850600.912
2011-03-20,0.79,4514178.5
2011-03-22,0.799646,4580532.217
2011-03-24,0.9,5168880
2011-03-26,0.905,5211306.75
2011-03-28,0.8575,4951333.625
2011-03-30,0.795,4602771.75
2011-04-01,0.79997,4646625.745
2011-04-03,0.7998,4659874.74
2011-04-05,0.71,4150234
2011-04-07,0.7677,4499067.465
2011-04-09,0.7676,4510571.12
2011-04-11,0.781,4601886.3
2011-04-13,1,5910700
2011-04-15,1.08999,6458844.744
2011-04-17,1.085,6447992.25
2011-04-19,1.19,7089663
2011-04-21,1.1979,7155236.385
2011-04-23,1.549,9278974.7
2011-04-25,1.701,10218927.6
2011-04-27,1.95,11752162.5
2011-04-29,2.7,16320960
2011-05-01,4.09,24801146.5
2011-05-03,3.49,21230019
2011-05-05,3.5,21363300
2011-05-07,3.7,22661390
2011-05-09,3.937,24202510.65
2011-05-11,6.065,37401642
2011-05-13,8.45,52263672.5
2011-05-15,8.55,53085667.5
2011-05-17,8.38901,52289118.78
2011-05-19,7.34,45920875
2011-05-21,6.6036,41458061.16
2011-05-23,7.45,46969642.5
2011-05-25,7.51,47568340
2011-05-27,8.92,56729416
2011-05-29,8.4992,54192599.04
2011-05-31,9.4998,60716546.73
2011-06-02,10.57,67751057.5
2011-06-04,17.41,111958487
2011-06-06,19.23,124102728
2011-06-08,31.9099,206495344.9
2011-06-10,35,227258500
2011-06-12,24.99,162849834
2011-06-14,20.99,137276699
2011-06-16,19.96,131022430
2011-06-18,17.2,113233620
2011-06-20,17.35,114612365
2011-06-22,15.05,99795797.5
2011-06-24,16.7501,111469403
2011-06-26,17.51001,116794393.2
2011-06-28,17.52,117135216
2011-06-30,17.5,117314750
2011-07-02,16.49,110836710.5
2011-07-04,15.85,106791752.5
2011-07-06,16.5,111424500
2011-07-08,15.64276,105856903.3
2011-07-10,15.68,106345680
2011-07-12,14.63988,99505800.37
2011-07-14,14.1,96073875
2011-07-16,14.1,96299475
2011-07-18,13.6901,93720371.09
2011-07-20,14.04,96331248
2011-07-22,13.9389,95845270.29
2011-07-24,13.979999,96352250.11
2011-07-26,14.4,99481680
2011-07-28,14,96961200
2011-07-30,13.8,95792010
2011-08-01,13.5501,94289725.86
2011-08-03,13.1,91358090
2011-08-05,11.55,80705047.5
2011-08-07,9.8,68600980
2011-08-09,12.1,84859720
2011-08-11,10.4959,73767809.18
2011-08-13,10.05,70767075
2011-08-15,11.89,83881572
2011-08-17,11.3,79868400
2011-08-19,11.81,83646096.5
2011-08-21,11.59,82255968.5
2011-08-23,11.49,81745030.5
2011-08-25,10.96554,78155789.8
2011-08-27,9.11,65060431.5
2011-08-29,9.4811,67823996.96
2011-08-31,9,64520100
2011-09-02,8.4989,61050573.32
2011-09-04,8.593999999,61848869.49
2011-09-06,7.65713,55222838.7
2011-09-08,7.31509,52855548.55
2011-09-10,6.20892,44950718.13
2011-09-12,7.081,51359201.1
2011-09-14,5.990000001,43532325.01
2011-09-16,5.23,38080676
2011-09-18,5,36478500
2011-09-20,6.795,49662956.25
2011-09-22,5.83001,42696952.74
2011-09-24,5.66,41524873
2011-09-26,5.46014,40134759.07
2011-09-28,4.989,36738746.55
2011-09-30,5.35,39465880
2011-10-02,5.16,38133174
2011-10-04,5.03,37237844.5
2011-10-06,4.93,36564084.5
2011-10-08,4.594,34131123
2011-10-10,4.25937,31696314.82
2011-10-12,4.20612,31347371.14
2011-10-14,4.11455,30711001.2
2011-10-16,3.9009,29167809.48
2011-10-18,2.9,21718680
2011-10-20,2.42,18152299
2011-10-22,3.3,24791415
2011-10-24,3.2,24076640
2011-10-26,2.876,21673248.4
2011-10-28,3.255,24564671.25
2011-10-30,3.65026,27587022.46
2011-11-01,3.35,25365195
2011-11-03,3.299,25024894.4
2011-11-05,3.21,24396802.5
2011-11-07,3.0289,23062650.38
2011-11-09,3.114,23757951.6
2011-11-11,3,22928250
2011-11-13,3.099,23728578.15
2011-11-15,2.69,20638487
2011-11-17,2.60031,19986502.72
2011-11-19,2.3,17708160
2011-11-21,2.29,17661281.5
2011-11-23,2.38,18387047
2011-11-25,2.56,19808640
2011-11-27,2.4965,19347375.7
2011-11-29,2.981,23141353.95
2011-12-01,3.14,24427630
2011-12-03,3.12999,24397802.55
2011-12-05,2.93,22882421
2011-12-07,3.082,24116650
2011-12-09,3.039,23826519.75
2011-12-11,3.38,26551083
2011-12-13,3.3,25966050
2011-12-15,3.1933,25169111.6
2011-12-17,3.23,25501980.5
2011-12-19,3.70036,29270772.69
2011-12-21,4.11,32570722.5
2011-12-23,3.95,31360037.5
2011-12-25,4.3897,34918088.14
2011-12-27,4.06,32362666
2011-12-29,4.33,34577648
2011-12-31,4.995,39960249.75
2012-01-02,5.4999,44082248.49
2012-01-04,5.6063,45023634.67
2012-01-06,7.22,58097535
2012-01-08,7.2,58059720
2012-01-10,6.89,55665688
2012-01-12,6.997,56641414.7
2012-01-14,6.75,54737775
2012-01-16,7.18888,58406774.45
2012-01-18,6.95,56570220
2012-01-20,6.58,53648714
2012-01-22,6.39,52198312.5
2012-01-24,6.515,53319085.75
2012-01-26,6.2,50829460
2012-01-28,5.74815,47209555.95
2012-01-30,5.6,46084920
2012-02-01,5.638,46480235.8
2012-02-03,6.148,50784017
2012-02-05,5.9625,49341178.13
2012-02-07,5.70999,47334675.1
2012-02-09,5.8,48160880
2012-02-11,6,49907100
2012-02-13,5.72,47665904
2012-02-15,4.88,40733848
2012-02-17,4.76998,39880133.29
2012-02-19,4.33333,36301388.74
2012-02-21,4.4354,37217219.63
2012-02-23,4.92481,41403862.63
2012-02-25,5.07,42703596
2012-02-27,5.1,43035330
2012-02-29,4.9,41429990
2012-03-02,4.98888,42253568.6
2012-03-04,4.9,41561800
2012-03-06,5.05,42904800
2012-03-08,5,42556250
2012-03-10,4.94,42129308
2012-03-12,4.95915,42367506.2
2012-03-14,5.4444,46592086.32
2012-03-16,5.4,46285560
2012-03-18,5.37998,46202192.24
2012-03-20,4.98,42843438
2012-03-22,4.88,42060720
2012-03-24,4.74896,41002995.54
2012-03-26,4.73793,40983331.4
2012-03-28,4.84592,41991835.17
2012-03-30,4.83,41923675.5
2012-04-01,4.929,42860119.5
2012-04-03,5.01,43628332.5
2012-04-05,4.94486,43125360.28
2012-04-07,4.98,43495320
2012-04-09,4.8,41994480
2012-04-11,4.8941,42887732.42
2012-04-13,4.94464,43395891.26
2012-04-15,4.98389,43802661.63
2012-04-17,5.02207,44207273.38
2012-04-19,5.19,45757635
2012-04-21,5.48,48397168
2012-04-23,5.21799,46160687.64
2012-04-25,5.16,45715020
2012-04-27,5.1372,45584944.2
2012-04-29,5.0184,44611568.64
2012-05-01,5,44535000
2012-05-03,5.184,46256832
2012-05-05,5.1495,46029063.22
2012-05-07,5.0947,45626604.79
2012-05-09,5.09609,45728234.79
2012-05-11,5.03188,45219241.21
2012-05-13,4.99888,44989920
2012-05-15,5.09,45879733
2012-05-17,5.1345,46339889.4
2012-05-19,5.14291,46490363.53
2012-05-21,5.1475,46602376.5
2012-05-23,5.16,46776948
2012-05-25,5.15,46750927.5
2012-05-27,5.148,46809734.4
2012-05-29,5.15889,46979431.79
2012-05-31,5.19,47331762
2012-06-02,5.279,48224456.85
